,device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,type
timestep_14,2335974821,235273941760,"(0.47728797793388367, 0.4366917908191681)","(-4.285051345825195, 70.53690338134766, 15.031551361083984)",1,5.521087646484375,1,"(-54.02685546875, -1.4118014574050903, 545.5758056640625)","(0.6369668245315552, 0.5022938847541809, 0.2287309765815735)",1,"(0.46437790989875793, 0.4721726179122925)","(-6.720764636993408, 66.60539245605469, 13.60059928894043)",1,4.8447418212890625,1,"(6.030555725097656, -2.351043462753296, 534.6614990234375)","(0.4846108853816986, 0.503737211227417, 0.19931985437870026)",1,not_attentive
timestep_15,2336774846,235274741726,"(0.7735045552253723, 0.4523017704486847)","(51.60170364379883, 68.80721282958984, 14.401984214782715)",1,5.8616943359375,1,"(-54.12614440917969, -1.5852575302124023, 545.8348388671875)","(0.637141227722168, 0.5027318000793457, 0.229306161403656)",1,"(0.7808067798614502, 0.48708879947662354)","(52.979408264160156, 64.95256042480469, 12.999064445495605)",1,5.102386474609375,1,"(6.030226230621338, -2.470993995666504, 535.2808837890625)","(0.48463159799575806, 0.5040616989135742, 0.20066222548484802)",1,not_attentive
timestep_16,2337574883,235275541740,"(0.5155698657035828, 0.407164067029953)","(2.9375436305999756, 73.80875396728516, 16.2224178314209)",1,5.9441986083984375,1,"(-55.25863265991211, -1.997262954711914, 544.8780517578125)","(0.640276312828064, 0.5037181973457336, 0.22746515274047852)",1,"(0.5232373476028442, 0.45425352454185486)","(4.3841447830200195, 68.5909423828125, 14.32327651977539)",1,5.248931884765625,1,"(4.913766384124756, -2.805278778076172, 534.0269775390625)","(0.4874877631664276, 0.504863440990448, 0.19790159165859222)",1,not_attentive
timestep_17,2338391581,235276358510,"(0.4415435492992401, 0.29688894748687744)","(-11.028897285461426, 86.02796173095703, 20.669828414916992)",1,6.0837554931640625,1,"(-55.83164978027344, -1.7415943145751953, 544.7841796875)","(0.6417528986930847, 0.5030887722969055, 0.22739548981189728)",1,"(0.4503801167011261, 0.3336308002471924)","(-9.361715316772461, 81.95671844482422, 19.18803596496582)",1,5.40911865234375,1,"(4.420437335968018, -2.6196165084838867, 533.8974609375)","(0.48876795172691345, 0.5043957233428955, 0.1976165771484375)",1,not_attentive
timestep_18,2339174960,235277141865,"(0.8487479090690613, 0.32602089643478394)","(65.79776763916016, 82.79994201660156, 19.494945526123047)",1,6.0251312255859375,1,"(-53.53481674194336, -1.7638435363769531, 544.6048583984375)","(0.636002242565155, 0.5031191110610962, 0.22651433944702148)",1,"(0.871489405632019, 0.41215428709983826)","(70.08837127685547, 73.25580596923828, 16.021150588989258)",1,5.2379608154296875,1,"(6.615296840667725, -2.9053759574890137, 533.8006591796875)","(0.4830571115016937, 0.5050936341285706, 0.19744594395160675)",1,not_attentive
timestep_19,2339991662,235277958507,"(0.4925239682197571, 0.22488859295845032)","(-1.4104907512664795, 94.00605773925781, 23.573659896850586)",1,6.1144561767578125,1,"(-55.813926696777344, -1.7486073970794678, 543.850830078125)","(0.6419880986213684, 0.5030696988105774, 0.22537285089492798)",1,"(0.4939185380935669, 0.2723727524280548)","(-1.147391438484192, 88.74449920654297, 21.65862464904785)",1,5.3310394287109375,1,"(4.366462707519531, -2.660572052001953, 532.9122314453125)","(0.4888838231563568, 0.5044625997543335, 0.19547291100025177)",1,not_attentive
timestep_20,2340791696,235278758693,"(0.6268073916435242, 0.512144923210144)","(23.9245662689209, 62.176204681396484, 11.988480567932129)",1,6.1407623291015625,1,"(-55.39607620239258, -2.083045244216919, 543.8253173828125)","(0.6409363150596619, 0.5038914084434509, 0.22521507740020752)",1,"(0.6286162734031677, 0.5702154636383057)","(24.265846252441406, 55.74159622192383, 9.646515846252441)",1,5.3509979248046875,1,"(4.794817924499512, -3.135664939880371, 533.050537109375)","(0.48776793479919434, 0.505660891532898, 0.19576680660247803)",1,not_attentive
timestep_21,2341608405,235279575286,"(0.4190126359462738, 0.16368961334228516)","(-15.279772758483887, 100.78731536865234, 26.04181480407715)",1,6.2607574462890625,1,"(-56.1218147277832, -1.6453673839569092, 543.7722778320312)","(0.6427915692329407, 0.5028140544891357, 0.22527426481246948)",1,"(0.4254707992076874, 0.2179555594921112)","(-14.061320304870605, 94.7742919921875, 23.8532657623291)",1,5.55572509765625,1,"(4.007699489593506, -2.837498188018799, 532.4512329101562)","(0.48980653285980225, 0.5048943161964417, 0.1944591999053955)",1,not_attentive
timestep_22,2342408442,235280375405,"(0.5296905040740967, 0.3426365554332733)","(5.601659297943115, 80.95881652832031, 18.824848175048828)",1,6.237152099609375,1,"(-55.92774200439453, -2.159107208251953, 543.5899658203125)","(0.6423523426055908, 0.5040745735168457, 0.22481980919837952)",1,"(0.5457837581634521, 0.3898954689502716)","(8.637948036193848, 75.72222137451172, 16.91888427734375)",1,5.43988037109375,1,"(4.209964752197266, -3.3590762615203857, 532.4974365234375)","(0.4892759919166565, 0.5062093138694763, 0.19454731047153473)",1,not_attentive
timestep_23,2343225144,235281191969,"(0.5687649250030518, 0.2482203245162964)","(12.973775863647461, 91.42076110839844, 22.63265609741211)",1,6.227813720703125,1,"(-55.963905334472656, -2.0557541847229004, 542.460693359375)","(0.6427860856056213, 0.5037769675254822, 0.22238928079605103)",1,"(0.5781428813934326, 0.2999436855316162)","(14.743104934692383, 85.6894760131836, 20.546642303466797)",1,5.483734130859375,1,"(4.162314414978027, -3.4022374153137207, 531.2122192382812)","(0.48936963081359863, 0.5062750577926636, 0.191751629114151)",1,not_attentive
timestep_24,2344025178,235281991998,"(0.8473474979400635, 0.37254300713539124)","(65.53353118896484, 77.64498901367188, 17.618730545043945)",1,6.3164825439453125,1,"(-55.49534606933594, -2.6575353145599365, 542.55126953125)","(0.6415660977363586, 0.5052663087844849, 0.22246292233467102)",1,"(0.8893733620643616, 0.4292735159397125)","(73.46249389648438, 71.35887908935547, 15.3307466506958)",1,5.5421905517578125,1,"(4.5405168533325195, -3.9791126251220703, 531.5233154296875)","(0.4883841574192047, 0.5077395439147949, 0.19241863489151)",1,not_attentive
timestep_25,2344841887,235282808813,"(0.4224979877471924, 0.2587739825248718)","(-14.622193336486816, 90.25132751464844, 22.20706558227539)",1,6.16363525390625,1,"(-57.63538360595703, -4.0539021492004395, 542.0200805664062)","(0.6471536755561829, 0.50872403383255, 0.22175133228302002)",1,"(0.4637224078178406, 0.27491217851638794)","(-6.844443321228027, 88.46311950683594, 21.556184768676758)",1,5.459197998046875,1,"(2.5114197731018066, -5.131961822509766, 530.7935180664062)","(0.49366605281829834, 0.5106481313705444, 0.1907753348350525)",1,not_attentive
timestep_26,2345658586,235283625475,"(0.8071877360343933, 0.4848179817199707)","(57.956661224365234, 65.2042007446289, 13.090598106384277)",1,6.10125732421875,1,"(-56.52442932128906, -4.797740936279297, 541.6820068359375)","(0.6444314122200012, 0.5105499029159546, 0.22075261175632477)",1,"(0.8539966940879822, 0.5281190872192383)","(66.78804016113281, 60.406158447265625, 11.344249725341797)",1,5.282501220703125,1,"(3.4348251819610596, -5.938788414001465, 531.1423950195312)","(0.49124982953071594, 0.5126889944076538, 0.1915285885334015)",1,not_attentive
timestep_27,2346458621,235284425489,"(0.5633171796798706, 0.17898274958133698)","(11.945958137512207, 99.09274291992188, 25.42500877380371)",1,6.2208251953125,1,"(-58.080196380615234, -4.469822406768799, 540.563720703125)","(0.6487411260604858, 0.5097187161445618, 0.218694269657135)",1,"(0.5697423219680786, 0.20418374240398407)","(13.158182144165039, 96.30030059814453, 24.408668518066406)",1,5.4546661376953125,1,"(1.9946560859680176, -5.5040130615234375, 529.3390502929688)","(0.4949989914894104, 0.5115579962730408, 0.1876009702682495)",1,not_attentive
timestep_28,2347258658,235285225368,"(0.47501814365386963, 0.42280876636505127)","(-4.713293075561523, 72.07522583007812, 15.591447830200195)",1,6.1549835205078125,1,"(-58.22038269042969, -4.902741432189941, 540.397216796875)","(0.64914870262146, 0.5107912421226501, 0.21835646033287048)",1,"(0.494543194770813, 0.4911283552646637)","(-1.0295273065567017, 64.50496673583984, 12.836103439331055)",1,5.5077667236328125,1,"(1.8731955289840698, -5.859755516052246, 529.0681762695312)","(0.4953121542930603, 0.5124549269676208, 0.18700428307056427)",1,not_attentive
timestep_29,2348075358,235286042132,"(0.8412821292877197, 0.18098300695419312)","(64.38919830322266, 98.8710708618164, 25.344425201416016)",1,6.2791900634765625,1,"(-55.33488845825195, -4.6894001960754395, 540.08349609375)","(0.6418903470039368, 0.5102304816246033, 0.21703557670116425)",1,"(0.8891412615776062, 0.20054198801517487)","(73.41871643066406, 96.70382690429688, 24.55555534362793)",1,5.5533294677734375,1,"(4.702940464019775, -6.284093856811523, 529.442138671875)","(0.4878852665424347, 0.513516902923584, 0.18784724175930023)",1,not_attentive
timestep_30,2348875394,235286842203,"(0.6213971972465515, 0.19924494624137878)","(22.903833389282227, 96.84754180908203, 24.607873916625977)",1,6.1042938232421875,1,"(-56.22624969482422, -4.85054874420166, 539.4080810546875)","(0.6443712711334229, 0.5106209516525269, 0.21576803922653198)",1,"(0.6259508728981018, 0.23963125050067902)","(23.762971878051758, 92.37248992919922, 22.979061126708984)",1,5.3555755615234375,1,"(3.904550075531006, -6.425827503204346, 528.3865356445312)","(0.4899560511112213, 0.5138614773750305, 0.18553613126277924)",1,not_attentive
timestep_31,2349692104,235287658944,"(0.6599956750869751, 0.2707129716873169)","(30.186145782470703, 88.92840576171875, 21.725570678710938)",1,5.9728851318359375,1,"(-55.937660217285156, -4.8615899085998535, 539.3610229492188)","(0.6436485052108765, 0.5106449723243713, 0.21560190618038177)",1,"(0.6774817109107971, 0.3275251090526581)","(33.48521423339844, 82.63326263427734, 19.434284210205078)",1,5.2050323486328125,1,"(4.098092079162598, -6.499351978302002, 528.2542114257812)","(0.4894431531429291, 0.5140441656112671, 0.18525046110153198)",1,not_attentive
